Цена;Минут до метро;Количество комнат;Площадь;Площадь спален;Площадь кухни;Номер этажа;Количество этажей;Округ_ Центральный административный округ;Округ_Восточный административный округ;Округ_Западный административный округ;Округ_Новомосковский административный округ;Округ_Северный административный округ;Округ_Северо-Восточный административный округ;Округ_Северо-Западный административный округ;Округ_Центральный административный округ;Округ_Юго-Восточный административный округ;Округ_Юго-Западный административный округ;Округ_Южный административный округ;Ремонт_Без ремонта;Ремонт_Дизайнерский;Ремонт_Европейский;Ремонт_Косметический
27300000;14;3;90;41;13;3;9;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
33800000;7;3;90,8;45,7;12,6;2;30;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
45000000;17;3;81,6;33,7;28,8;13;28;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
59850000;8;3;126;65,8;17,1;3;29;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
41000000;10;3;94,1;7;14,4;4;5;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
43000000;10;3;118,6;54,4;30,4;9;48;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
53000000;7;3;93,8;68,8;20;4;14;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
55000000;16;3;91;56;30;13;41;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
64000000;6;3;103;7;15,2;2;11;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
72000000;12;3;91;69;10;8;41;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
75000000;7;3;105;67;14;3;13;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
99000000;10;3;130;80;25;4;13;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
124000000;15;3;135;79;18;2;11;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
48990000;5;3;85,5;29;13,7;36;51;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
75000000;12;3;126,3;66;17,1;3;18;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
145000000;11;3;95;75;12;7;14;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
205875000;7;3;152,5;15;19,3;3;6;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
56000000;11;3;127,4;97,4;20;6;6;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
65000000;25;3;75,3;37,3;13;17;21;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
115000000;2;3;187;91;22,1;39;75;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
224900000;6;3;163,7;15;20,2;4;6;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
23800000;5;3;80;40,1;16,7;22;30;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
36000000;7;3;92,9;48;20,3;5;17;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
113500000;4;3;190;100;10;39;73;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
142440000;15;3;118,7;10;16,5;30;66;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
34000000;5;3;72,2;47,2;8,4;4;30;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
35490000;3;3;98,5;40,2;19,7;3;4;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
52000000;10;3;133;69,4;17,6;15;52;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
56500000;9;3;99;74;15;10;25;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
59000000;12;3;76;40,6;12,9;15;51;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
182000000;10;3;184,6;16;21,9;2;8;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
46900000;7;3;75;40,1;12,8;17;28;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
48500000;13;3;143,3;101,8;33,7;39;58;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
51000000;18;3;98,2;58,2;16,9;18;19;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
97000000;2;3;192;99,2;22,5;41;75;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
224900000;9;3;237,2;66,7;17,2;14;14;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
11990000;16;3;54;29,4;11,1;3;4;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
12900000;13;3;62;39,1;10;4;17;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
15500000;8;3;72;38,5;12,6;6;8;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
24800000;4;3;62;42;6,6;1;6;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
27500000;5;3;62,7;41;9;2;5;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
74800000;23;3;104;53;27;14;26;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
105000000;2;3;192;99,2;22,5;37;75;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
44988700;5;3;71,2;41;6,2;2;14;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
64500000;19;3;84;63;16;12;19;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
128000000;7;3;127,6;80;7;6;21;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
153000000;6;3;94;57;8;2;7;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
26700000;11;3;57,4;20;10;1;39;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
39500000;17;3;81,25;40,6;27,4;6;18;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
41500000;10;3;77,2;50,9;8,4;5;12;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
42990000;6;3;70;37,5;12,4;15;15;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
45000000;15;3;91,5;29,3;14,2;6;21;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
57000000;19;3;99;7;14,8;2;19;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
64900000;11;3;90;31,1;35,1;7;21;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
78000000;7;3;100;52,7;14,9;39;53;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
190000000;22;3;105,5;14;15,4;4;8;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
250000000;11;3;142,8;30;18,5;6;8;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
12000000;8;3;63;45;7;1;9;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
14450000;14;3;60,6;43,3;6;2;9;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
14500000;4;3;60;43,9;6,1;9;9;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
24287000;4;3;84;44,6;13,6;11;22;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
26500000;6;3;80;55;15;19;24;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
33500000;17;3;77,2;59,5;10,5;11;22;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
36900000;7;3;82;55,5;12,2;3;5;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
41990000;5;3;78,2;40;20;2;7;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
45000000;11;3;107,3;67;10;22;29;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
45000000;12;3;85,8;45,5;13,7;28;42;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
47900000;7;3;91;17;14,2;7;8;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
49990000;12;3;89;47,1;14;30;37;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
50990000;12;3;88,6;46,9;14;34;42;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
76000000;5;3;121;70,2;15,4;6;12;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
82000000;10;3;163,5;84;20;9;57;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
147213000;15;3;148,7;77,3;18,9;4;20;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
190000000;4;3;105,4;55,2;14;4;8;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
12800000;5;3;60;37;8;9;9;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
17650000;5;3;60;40;14;4;17;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
24000050;15;3;55;29,9;11,2;7;8;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
30800000;10;3;68,5;36,8;12,3;7;52;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
